depth,Ca,Sr,Fe,Rb,K,Mo,V,S
400,303524.3433,1489.036667,2897.836667,18.18,1761.013333,23.18,30.64666667,3355.533333
402,271427.3567,1679.89,7153.9,27.62666667,2146.32,41.17666667,47.30666667,3983.643333
405,289083.95,1482.723333,3311.386667,20.01,2412.146667,29.97,37.29,3778.896667
408,303995.2,1928.593333,2751.38,15.55666667,896.84,55.73333333,50.44666667,4337.776667
410,341581.6767,1763.466667,968.08,8.82,330.8466667,30.12666667,26.77,4021.163333
412,297090.6033,1993.493333,4093.433333,20.01,1406.95,52.11,41.31666667,5090.24
415,255681.2933,1810.933333,2248.556667,16.8,519.24,51.09666667,29.89666667,3670.013333
418,310447.46,1967.663333,2661.34,14.86666667,723.6733333,51.86666667,41.20333333,5063.73
420,284060.68,1739.303333,2273.686667,15.63,802.5433333,52.55333333,27.38333333,4157.776667
422,308163.44,1839.526667,4826.393333,17.69666667,887.2966667,52.13,36.79666667,4393.993333
425,320783.0733,1825.276667,1745.806667,12.08666667,820.2366667,44.85,24.92,4214.713333
428,244103.6767,1637.746667,8239.043333,30.73333333,2306.953333,77.86,48.22,5908.04
430,238817.5033,1220.343333,4299.263333,23.54,2459.443333,84.09,29.32,5129.826667
432,286065.45,1894.253333,5345.34,22.54,1537.176667,76.07,32.95,4925.97
435,295886.73,1752.996667,2844.25,18.77666667,1007.096667,68.87,29.22666667,3905.323333
438,259351.3933,1769.13,8666.146667,30.33666667,3204.606667,57.84333333,44.18666667,3445.286667
440,257713.6167,1360.386667,4014.886667,20.1,2676.86,50.55333333,27.96,3867.413333
443,239812.6233,1631.833333,7099.266667,30.24333333,2850.986667,52.81333333,38.37333333,3454.34
445,247851.0733,1566.63,3990.823333,21.05,2606.566667,35.78666667,28.28,3365.823333
448,279762.6133,1878.066667,5019.25,22.57666667,2099.953333,37.39666667,37.38,3182.05
450,273353.24,1812.22,2043.953333,10.06333333,889.2833333,19.76,21.57333333,2806.926667
452,305577.6267,1949.02,3575.776667,24.15,1539.04,33.40666667,28.135,4183.27
455,291613.5,1582.99,1978.793333,14.61333333,747.0833333,18.94666667,23.27,2995.086667
458,312883.45,1710.65,3149.363333,19.75,1645.023333,22.48,32.90333333,3328.863333
460,281902.3867,1707.73,2651.426667,16.49666667,1540.32,19.72666667,22.755,2848.546667
462,323975.9367,1468.063333,2327.676667,11.82333333,1479.18,12.52,28.775,2397.646667
465,287293.1067,1674.27,3053.203333,22.40333333,2020.513333,16.48666667,23.12,3058.016667
468,282440.9067,1686.553333,5663.983333,25.35,2485.446667,24.38666667,29.92666667,2663.32
470,258184.94,1612.58,3820.98,21.62666667,2432.476667,19.72,23.305,2785.653333
472,272624.8267,1891.57,7976.68,49.19666667,3208.803333,29.58666667,33.27,3211.423333
475,179201.66,1422.483333,4928.456667,36.33666667,2106.463333,36.06,24.75,3528.136667
478,230904.77,2157.973333,4267.446667,20.25333333,1519.156667,27.45333333,29.40666667,3214.596667
480,274602.8567,2273.53,2603.393333,15.8,1332.21,20.84666667,24.17,3398.19
482,351172.6767,1575.84,1371.93,7.736666667,966.3766667,12.01333333,21.37,1843.193333
485,346627.5733,1192.636667,1546.783333,9.556666667,1278.976667,6.433333333,29.415,2123.413333
